Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-16 09:42:00+05:30,54126.5,54169.65,54125.65,54145.95,0,4721748.0,54147.65,255671550714.47,13715364882354.52,254699808.0,53849.14,53807.92,53797.62,53787.31,54006.01,71.21,72.94,66.83,66.83,54106.6,54007.08,53938.56,53934.82,53934.82,54262.47,53614.65,54100.52,53776.6,53960.66,54178.94,54069.8,53919.48,True,False,False,False,False,False,BUY
2026-03-16 09:43:00+05:30,54083.3,54123.35,54072.8,54123.35,0,5247804.0,54098.08,283896100527.07,13999260982881.58,259947612.0,53854.16,53810.94,53800.13,53789.32,54038.74,62.15,67.55,33.37,33.37,54100.43,54015.44,53952.91,53943.3,53943.3,54275.72,53630.1,54114.31,53791.5,53909.62,54108.12,54008.87,53894.69,False,False,False,False,False,False,WAIT
2026-03-16 09:44:00+05:30,54048.35,54084.6,54034.45,54082.45,0,5671692.0,54059.53,306608977681.8,14305869960563.39,265619304.0,53858.55,53813.57,53802.32,53791.08,54169.65,55.71,61.63,10.28,10.28,54101.19,54019.03,53967.66,53949.2,53949.2,54278.81,53656.52,54123.24,53812.09,53885.26,54052.61,53968.94,53875.41,False,False,False,False,False,False,WAIT
2026-03-16 09:45:00+05:30,54100.25,54116.5,54049.75,54051.25,0,5509716.0,54083.12,297982659142.5,14603852619705.89,271129020.0,53863.11,53816.31,53804.6,53792.9,54166.95,62.25,61.94,48.67,48.67,54100.89,54027.86,53987.19,53957.53,53957.53,54278.58,53695.8,54132.88,53841.49,53928.5,54149.65,54039.07,53895.78,False,False,False,False,False,False,WAIT
2026-03-16 09:46:00+05:30,54096.95,54135.85,54095.85,54104.0,0,3823992.0,54115.85,206938583448.19,14810791203154.08,274953012.0,53866.63,53818.41,53806.36,53794.31,54164.3,61.6,61.77,61.64,61.64,54091.07,54035.34,54007.1,53965.11,53965.11,54268.33,53745.88,54137.72,53876.49,53909.19,54107.04,54008.12,53903.58,True,False,False,False,False,False,BUY
2026-03-16 09:47:00+05:30,54042.55,54101.15,54040.75,54101.15,0,5512560.0,54070.95,298069351825.31,15108860554979.39,280465572.0,53870.64,53820.82,53808.37,53795.91,54161.7,51.6,56.68,7.99,7.99,54074.28,54036.12,54024.68,53969.25,53969.25,54239.55,53809.82,54132.12,53917.25,53904.99,54063.59,53984.29,53881.12,False,False,False,False,False,False,WAIT
2026-03-16 09:48:00+05:30,54060.05,54072.0,54037.5,54040.15,0,4810596.0,54054.75,260035564131.0,15368896119110.39,285276168.0,53873.75,53822.69,53809.92,53797.16,54159.15,54.28,55.48,22.93,22.93,54069.63,54038.7,54039.37,53974.04,53974.04,54216.76,53861.98,54128.07,53950.67,53889.86,54081.49,53985.68,53875.68,False,False,False,False,False,False,WAIT
2026-03-16 09:49:00+05:30,54057.95,54076.8,54053.7,54059.45,0,3914784.0,54065.25,211653775656.0,15580549894766.39,289190952.0,53876.34,53824.24,53811.22,53798.19,54156.66,53.88,54.68,20.79,20.79,54071.55,54040.77,54052.56,53978.41,53978.41,54187.28,53917.84,54119.92,53985.2,53892.88,54052.68,53972.78,53878.28,True,False,False,False,False,False,WAIT
2026-03-16 09:50:00+05:30,54048.25,54072.9,54041.35,54059.25,0,3202656.0,54057.12,173126375724.0,15753676270490.39,292393608.0,53878.32,53825.43,53812.21,53798.99,54154.22,51.87,53.28,16.89,16.89,54061.15,54041.57,54060.99,53982.0,53982.0,54168.49,53953.5,54114.74,54007.25,53906.81,54070.91,53988.86,53874.21,False,False,False,False,False,False,WAIT
2026-03-16 09:51:00+05:30,54073.45,54082.95,54027.3,54050.9,0,4614600.0,54055.12,249442779825.0,16003119050315.39,297008208.0,53881.07,53827.08,53813.58,53800.08,54151.82,56.59,54.94,82.93,82.93,54056.45,54044.98,54067.16,53986.64,53986.64,54161.19,53973.13,54114.17,54020.14,53907.7,54149.25,54028.47,53882.38,False,False,False,False,False,False,WAIT
