,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-05-19 12:20:00+05:30,23733.75,23753.8,23727.45,23744.55,0,180367275,23740.62,4282031838046.88,281918491577397.9,11880223245,23730.07,23751.38,23747.83,23744.28,23702.79,46.63,50.02,23.91,23.91,23740.71,23740.24,23740.04,23737.5,23737.5,23773.92,23706.16,23756.98,23723.1,23703.82,23738.81,23773.8,True,-5.67,11882.72,11917.48,11900.1,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 12:25:00+05:30,23752.55,23755.5,23724.25,23733.6,0,240044695,23739.88,5698631053713.12,287617122631111.0,12120267940,23730.26,23751.46,23747.93,23744.39,23704.19,57.16,53.59,90.56,90.56,23743.05,23741.55,23739.82,23738.24,23738.24,23773.28,23706.35,23756.55,23723.08,23703.99,23740.12,23776.24,True,12.58,11882.72,11916.61,11899.66,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-05-19 12:30:00+05:30,23735.8,23753.75,23729.55,23752.4,0,220208120,23741.65,5228104198216.8,292845226829327.8,12340476060,23730.46,23751.54,23748.03,23744.52,23705.56,47.72,50.65,36.96,36.96,23742.1,23740.94,23739.52,23738.12,23738.12,23773.01,23706.03,23756.27,23722.77,23703.57,23739.71,23775.85,True,-3.81,11882.72,11916.61,11899.66,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 12:35:00+05:30,23741.0,23743.2,23722.15,23736.0,0,194283155,23732.67,4610858937643.7,297456085766971.5,12534759215,23730.5,23751.56,23748.05,23744.54,23706.9,50.57,50.61,56.52,56.52,23741.7,23740.94,23737.99,23738.26,23738.26,23767.91,23708.07,23752.95,23723.03,23704.12,23739.83,23775.53,True,2.09,11882.72,11913.65,11898.18,,,,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,WAIT
2026-05-19 12:40:00+05:30,23738.1,23741.8,23726.9,23740.7,0,189948605,23734.35,4508306784379.76,301964392551351.25,12724707820,23730.56,23751.58,23748.07,23744.57,23708.22,48.9,49.75,47.83,47.83,23740.24,23740.64,23737.32,23738.26,23738.26,23766.55,23708.08,23751.93,23722.7,23705.23,23739.66,23774.1,True,-0.39,11882.72,11913.65,11898.18,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,WAIT
2026-05-19 12:45:00+05:30,23728.45,23743.2,23721.0,23738.05,0,243160610,23732.1,5770711817596.39,307735104368947.6,12967868430,23730.59,23751.59,23748.09,23744.59,23709.51,43.51,46.63,22.75,22.75,23739.18,23739.35,23736.53,23737.79,23737.79,23765.84,23707.23,23751.18,23721.88,23704.27,23738.6,23772.92,True,-9.11,11882.72,11912.98,11897.85,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 12:50:00+05:30,23728.25,23731.7,23719.3,23727.6,0,277991175,23725.5,6595479622462.5,314330583991410.1,13245859605,23730.48,23751.55,23748.04,23744.52,23710.77,43.4,45.02,37.45,37.45,23734.32,23738.17,23736.94,23737.33,23737.33,23765.5,23708.38,23751.22,23722.66,23704.78,23737.61,23770.44,True,-9.03,11882.65,11908.95,11895.8,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,WAIT
2026-05-19 12:55:00+05:30,23723.7,23732.15,23721.85,23728.45,0,155748670,23727.0,3695448693090.0,318026032684500.1,13401608275,23730.44,23751.53,23748.02,23744.5,23712.01,40.73,42.87,18.41,18.41,23731.9,23736.64,23737.75,23736.69,23736.69,23763.58,23711.92,23750.67,23724.83,23705.11,23736.29,23767.46,True,-13.32,11882.65,11908.65,11895.65,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SELL
2026-05-19 13:00:00+05:30,23713.55,23735.75,23711.65,23723.9,0,161327925,23723.7,3827295325831.86,321853328010332.0,13562936200,23730.36,23751.5,23747.98,23744.45,23772.75,35.28,39.08,6.02,6.02,23726.41,23734.19,23737.75,23735.62,23735.62,23763.59,23711.9,23750.67,23724.83,23702.47,23734.12,23765.77,True,-22.38,11882.6,11905.57,11894.09,,,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,SELL
2026-05-19 13:05:00+05:30,23724.75,23729.45,23707.05,23713.35,0,174591230,23718.25,4140998440947.5,325994326451279.5,13737527430,23730.2,23751.44,23747.9,23744.36,23771.53,44.5,41.79,61.67,61.67,23723.74,23733.19,23737.6,23735.11,23735.11,23763.71,23711.49,23750.66,23724.55,23701.4,23733.23,23765.06,True,-10.67,11879.44,11901.41,11890.42,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 13:10:00+05:30,23709.2,23724.95,23706.1,23724.75,0,170497305,23715.52,4043432999259.36,330037759450538.9,13908024735,23730.02,23751.37,23747.81,23744.25,23768.95,36.4,39.09,10.46,10.46,23719.89,23730.65,23737.12,23733.92,23733.92,23765.0,23709.23,23751.06,23723.17,23699.45,23730.94,23762.43,True,-24.83,11876.7,11899.13,11887.91,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SELL
2026-05-19 13:15:00+05:30,23728.95,23738.85,23701.45,23708.35,0,167920775,23720.15,3983105872725.17,334020865323264.0,14075945510,23729.91,23751.32,23747.75,23744.18,23765.18,49.52,44.31,73.53,73.53,23720.03,23730.47,23737.35,23733.7,23733.7,23764.85,23709.85,23751.1,23723.6,23696.91,23730.75,23764.59,True,-5.1,11876.7,11899.13,11887.91,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 13:20:00+05:30,23732.65,23732.65,23721.5,23728.9,0,153347700,23727.08,3638492408928.22,337659357732192.25,14229293210,23729.88,23751.31,23747.73,23744.16,23760.08,51.63,47.97,83.42,83.42,23721.82,23730.7,23736.5,23733.65,23733.65,23763.45,23709.56,23749.98,23723.03,23698.72,23730.93,23763.14,True,-1.07,11876.7,11899.13,11887.91,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,WAIT
2026-05-19 13:25:00+05:30,23724.6,23733.75,23720.85,23732.85,0,172023995,23727.3,4081664902965.06,341741022635157.3,14401317205,23729.84,23751.29,23747.72,23744.14,23755.39,46.85,47.41,61.9,61.9,23724.03,23730.06,23735.02,23733.44,23733.24,23761.09,23708.95,23748.05,23721.98,23699.35,23730.33,23761.31,True,-8.07,11876.7,11899.13,11887.91,,11904.14,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 13:30:00+05:30,23730.9,23743.3,23723.65,23724.85,0,213650855,23733.48,5070677351057.17,346811699986214.5,14614968060,23729.9,23751.32,23747.75,23744.18,23751.07,50.85,49.13,70.37,70.37,23725.26,23730.15,23733.55,23733.08,23733.13,23756.78,23710.32,23745.16,23721.93,23699.54,23730.38,23761.22,True,-1.07,11876.7,11899.13,11887.91,11949.67,11904.14,,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,WAIT
2026-05-19 13:35:00+05:30,23709.2,23731.8,23685.85,23730.9,0,291793590,23708.83,6918083218422.68,353729783204637.2,14906761650,23729.49,23751.15,23747.54,23743.93,23747.1,39.36,44.25,40.64,40.64,23725.26,23727.94,23731.26,23732.12,23732.07,23754.62,23707.9,23742.94,23719.58,23693.9,23728.37,23762.83,True,-20.61,11876.7,11896.28,11886.49,11936.28,11903.58,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SELL
2026-05-19 13:40:00+05:30,23696.6,23710.35,23694.35,23709.15,0,172520315,23702.35,4089136820849.5,357818920025486.7,15079281965,23729.17,23751.03,23747.38,23743.74,23740.98,34.3,39.27,18.71,18.71,23718.79,23724.63,23729.05,23732.38,23730.5,23756.59,23701.5,23742.82,23715.27,23691.87,23725.34,23758.81,True,-30.59,11874.33,11892.5,11883.41,11931.77,11903.58,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SELL
2026-05-19 13:45:00+05:30,23703.85,23716.0,23695.9,23696.85,0,296689140,23705.95,7033297976330.1,364852218001816.75,15375971105,23728.73,23750.85,23747.16,23743.47,23735.47,39.35,39.31,31.33,31.33,23713.03,23722.44,23727.21,23732.33,23729.32,23756.38,23698.05,23741.79,23712.63,23690.14,23723.29,23756.45,True,-21.4,11874.33,11892.5,11883.41,11931.77,11903.58,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,SELL
2026-05-19 13:50:00+05:30,23700.2,23711.4,23697.35,23704.5,0,227203350,23704.38,5385713409656.25,370237931411472.94,15603174455,23728.37,23750.7,23746.98,23743.26,23730.5,37.71,38.51,31.23,31.23,23708.15,23720.09,23725.07,23731.34,23728.04,23755.61,23694.54,23740.34,23709.81,23689.09,23721.09,23753.1,True,-22.88,11873.97,11891.78,11882.87,11928.76,11903.58,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,SELL
2026-05-19 13:55:00+05:30,23689.45,23700.6,23674.0,23699.55,0,257539425,23687.3,6100413571501.83,376338344982974.9,15860713880,23727.71,23750.44,23746.65,23742.86,23726.04,33.13,35.82,36.79,36.79,23699.86,23716.86,23722.28,23730.83,23726.36,23755.13,23689.42,23738.7,23705.85,23685.32,23718.08,23750.84,True,-30.73,11866.29,11883.9,11875.1,11918.31,11903.58,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,SELL
