Date,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-01-27 05:30:00+05:30,25175.4,25246.65,24932.55,25063.35,618700,35277822910.0,25089.6,885106486353335.4,885106486353335.4,35277822910.0,25089.6,24637.85,24524.91,24411.98,25729.02,28.28,24.34,49.54,49.54,25180.79,25542.06,25749.37,25693.31,25693.31,26545.12,24953.63,26147.25,25351.5,25356.06,25714.57,26073.08,False,-556.57,12834.32,,,,,,False,False,False,False,True,False,SELL
2026-01-28 05:30:00+05:30,25342.75,25372.1,25187.65,25258.85,574900,32720801575.0,25279.88,827177773715803.2,827177773715803.2,32720801575.0,25279.88,24752.01,24620.05,24488.08,25648.1,37.94,31.14,81.52,81.52,25202.84,25519.32,25719.41,25670.45,25670.45,26529.61,24909.21,26124.51,25314.31,25326.69,25679.16,26031.62,False,-356.53,12834.32,,,,,,False,False,False,False,True,False,WAIT
2026-01-29 05:30:00+05:30,25418.9,25458.15,25159.8,25345.0,582400,33225457485.0,25308.98,840902292319469.5,840902292319469.5,33225457485.0,25308.98,24769.48,24634.6,24499.72,25575.27,41.94,36.54,92.53,92.53,25255.12,25507.96,25693.41,25654.47,25654.47,26507.32,24879.5,26100.36,25286.46,25292.85,25654.37,26015.89,False,-254.99,12834.32,,,,,,False,True,False,False,True,False,WAIT
2026-01-30 05:30:00+05:30,25320.65,25370.7,25213.65,25247.55,508400,29152228490.0,25292.17,737323258915271.2,737323258915271.2,29152228490.0,25292.17,24759.39,24626.2,24493.0,25509.72,38.35,37.44,73.84,73.84,25261.27,25486.94,25652.96,25633.76,25633.76,26455.93,24849.99,26054.45,25251.48,25266.18,25622.59,25979.0,False,-317.12,12834.32,,,,,,False,False,False,False,True,False,WAIT
2026-02-02 05:30:00+05:30,25088.4,25108.1,24679.4,24796.5,449200,25439366315.0,24893.75,633281225204031.2,633281225204031.2,25439366315.0,24893.75,24520.34,24426.99,24333.63,25450.73,31.24,34.34,52.52,52.52,25269.22,25442.53,25600.06,25600.69,25600.69,26405.53,24794.58,26002.79,25197.32,25157.64,25571.71,25985.79,False,-497.48,12785.97,12939.77,12862.87,,0.0,0.0,False,False,False,False,True,False,SELL
2026-02-03 05:30:00+05:30,25727.55,26341.2,25641.3,26308.05,637300,36395231400.0,25991.25,945957558125249.9,945957558125249.9,36395231400.0,25991.25,25178.84,24975.74,24772.63,24679.4,56.32,45.33,63.07,63.07,25379.65,25474.1,25570.0,25608.22,25608.22,26302.59,24837.42,25936.3,25203.71,25032.94,25586.55,26140.16,False,149.27,25727.55,12939.77,19333.66,,,,False,False,False,False,True,False,WAIT
2026-02-04 05:30:00+05:30,25776.0,25818.55,25563.95,25675.05,429800,24518315965.0,25691.25,629906185035806.2,629906185035806.2,24518315965.0,25691.25,24998.84,24825.74,24652.63,24712.64,57.63,51.48,65.99,65.99,25466.3,25507.35,25546.29,25617.98,25617.98,26213.98,24878.6,25880.13,25212.45,25067.34,25604.6,26141.85,False,200.56,25451.35,12939.77,19195.56,,,,False,False,False,False,True,False,WAIT
2026-02-05 05:30:00+05:30,25642.8,25757.65,25579.5,25755.9,343800,19411770125.0,25668.58,498272481127683.25,498272481127683.25,19411770125.0,25668.58,24985.23,24814.4,24643.56,24745.21,52.72,52.1,57.97,57.97,25511.08,25522.2,25519.5,25619.4,25619.4,26119.95,24919.04,25819.72,25219.27,25094.07,25608.23,26122.39,True,78.94,25451.35,12939.77,19195.56,,,,False,False,False,False,True,False,WAIT
2026-02-06 05:30:00+05:30,25693.7,25703.95,25491.9,25605.8,375500,21516523985.0,25597.92,550778363026285.06,550778363026285.06,21516523985.0,25597.92,24942.84,24779.07,24615.3,24777.13,54.39,53.24,23.76,23.76,25585.69,25540.92,25497.14,25623.57,25623.57,26029.66,24964.62,25763.4,25230.88,25120.89,25616.37,26111.86,True,136.94,25451.35,12939.77,19195.56,,,,False,True,False,False,True,False,WAIT
2026-02-09 05:30:00+05:30,25867.3,25922.25,25780.9,25888.7,359400,20409548225.0,25851.58,527618970640944.25,527618970640944.25,20409548225.0,25851.58,25095.03,24905.9,24716.76,24808.41,59.84,56.54,87.23,87.23,25741.47,25576.4,25496.66,25637.02,25637.02,26027.77,24965.56,25762.22,25231.11,25159.33,25640.27,26121.22,True,298.83,25497.0,12939.77,19218.38,,,,False,True,False,False,True,False,WAIT
