,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-05-22 11:30:00+05:30,23804.85,23828.25,23750.05,23758.2,0,1167988525,23789.15,27785454675749.26,173464162616236.03,7297789180,23769.41,23895.19,23874.23,23853.26,23623.64,68.0,66.18,70.08,70.08,23777.12,23720.93,23717.68,23690.97,23690.97,23832.66,23602.7,23775.17,23660.19,23612.9,23704.25,23795.59,False,93.89,23804.85,11960.66,17882.76,,,,False,False,False,False,True,False,BUY
2026-05-22 12:00:00+05:30,23774.75,23808.35,23771.45,23804.9,0,1186893675,23789.9,28236081143436.99,201700243759673.03,8484682855,23772.28,23896.33,23875.66,23854.98,23635.92,61.4,63.79,31.59,31.59,23776.14,23726.74,23723.2,23695.46,23695.46,23838.0,23608.4,23780.6,23665.8,23623.05,23710.96,23798.87,False,57.67,23740.44,11960.66,17850.55,,,,False,False,False,False,True,False,WAIT
2026-05-22 12:30:00+05:30,23827.45,23835.6,23758.85,23774.85,0,1090228260,23797.22,25944406778708.08,227644650538381.1,9574911115,23775.12,23897.47,23877.08,23856.69,23647.46,67.6,65.7,90.47,90.47,23789.34,23737.59,23726.71,23702.42,23702.42,23849.87,23603.54,23788.29,23665.12,23631.55,23722.05,23812.56,False,103.07,23752.98,11960.66,17856.82,,,,False,False,False,False,True,False,BUY
2026-05-22 13:00:00+05:30,23809.4,23833.25,23803.6,23828.25,0,1072481190,23818.42,25544812578456.76,253189463116837.88,10647392305,23779.48,23899.22,23879.26,23859.3,23662.51,63.66,64.68,69.37,69.37,23795.07,23745.31,23728.61,23707.99,23707.99,23855.79,23601.43,23792.2,23665.02,23644.25,23730.37,23816.5,False,79.91,23766.98,11960.66,17863.82,,,,False,False,False,False,False,False,BUY
2026-05-22 13:30:00+05:30,23792.15,23822.7,23782.5,23809.1,0,1076784115,23802.6,25630261155080.2,278819724271918.1,11724176420,23781.6,23900.06,23880.32,23860.58,23676.36,59.91,62.29,43.39,43.39,23801.72,23750.33,23729.22,23712.31,23712.31,23857.54,23600.89,23793.38,23665.05,23652.59,23736.26,23819.92,False,59.41,23766.98,11960.66,17863.82,,,,False,False,False,False,False,False,WAIT
2026-05-22 14:00:00+05:30,23739.3,23795.6,23739.1,23792.2,0,1201450360,23767.35,28555290744429.46,307375015016347.5,12925626780,23780.28,23899.53,23879.66,23859.78,23689.1,49.8,56.05,0.21,0.21,23788.61,23749.15,23729.99,23713.68,23713.68,23858.36,23601.62,23794.18,23665.8,23652.78,23736.55,23820.31,False,6.03,23766.98,11960.66,17863.82,,,,False,False,False,False,True,False,WAIT
2026-05-22 14:30:00+05:30,23724.45,23752.5,23706.9,23739.4,0,1489458245,23729.7,35344397607286.31,342719412623633.9,14415085025,23775.05,23897.44,23877.05,23856.65,23700.82,47.27,51.66,13.89,13.89,23778.55,23746.51,23729.06,23714.22,23714.22,23857.31,23600.82,23793.19,23664.94,23653.09,23735.39,23817.7,False,-7.78,23766.98,11960.66,17863.82,,,,False,False,False,False,False,False,WAIT
2026-05-22 15:00:00+05:30,23748.85,23751.9,23698.95,23724.65,0,3407281295,23725.42,80839196152940.75,423558608776574.6,17822366320,23765.57,23893.65,23872.3,23850.95,23835.6,51.79,51.72,40.32,40.32,23762.83,23746.76,23730.7,23715.94,23715.94,23859.09,23602.32,23794.9,23666.51,23654.65,23736.68,23818.7,False,15.16,23766.98,11960.66,17863.82,,,,False,False,False,False,False,False,WAIT
2026-05-25 09:00:00+05:30,23981.6,23988.05,23928.25,23928.25,0,1195458550,23958.15,28640975726658.5,28640975726658.5,1195458550,23958.15,23970.68,23968.59,23966.51,23698.95,74.88,63.3,97.77,97.77,23797.27,23771.77,23746.6,23728.99,23728.99,23913.1,23580.11,23829.85,23663.36,23651.61,23760.0,23868.39,False,228.3,23896.99,23981.6,23939.3,,,,False,False,False,True,True,True,BUY
2026-05-25 09:30:00+05:30,23937.15,23984.3,23924.4,23981.95,0,2177482065,23954.35,52160168779601.15,80801144506259.64,3372940615,23955.7,23969.7,23967.37,23965.03,23704.73,67.89,65.59,82.39,82.39,23826.27,23789.36,23762.25,23739.12,23739.12,23938.85,23585.64,23850.55,23673.94,23670.25,23776.87,23883.5,False,167.59,23897.12,23838.27,23867.7,,,,False,False,False,True,True,True,BUY
2026-05-25 10:00:00+05:30,23958.55,23980.95,23933.45,23938.75,0,1725767065,23957.2,41344545381362.48,122145689887622.12,5098707680,23956.21,23969.91,23967.62,23965.34,23710.4,69.43,67.51,89.8,89.8,23870.12,23807.34,23778.59,23749.7,23749.7,23964.57,23592.61,23871.58,23685.6,23690.92,23794.18,23897.43,False,172.17,23897.37,23838.87,23868.12,,,,True,False,True,True,True,True,BUY
2026-05-25 10:30:00+05:30,23978.15,23995.55,23959.2,23960.9,0,1501950670,23977.38,36012834446091.25,158158524333713.38,6600658350,23961.02,23971.83,23970.03,23968.23,23715.95,70.88,69.2,75.54,75.54,23920.86,23825.47,23793.83,23760.61,23760.61,23992.98,23594.68,23893.41,23694.25,23712.99,23811.7,23910.4,False,175.39,23911.88,23851.57,23881.72,,,,False,False,False,True,True,True,BUY
2026-05-25 11:00:00+05:30,23977.15,23989.9,23970.65,23979.55,0,1272708525,23980.28,30519900921496.14,188678425255209.53,7873366875,23964.13,23973.08,23971.59,23970.1,23727.14,70.69,69.94,74.14,74.14,23966.52,23841.56,23810.06,23770.87,23770.87,24013.59,23606.54,23911.82,23708.3,23735.4,23827.45,23919.51,False,158.39,23914.48,23859.73,23887.1,,,,True,False,True,True,False,True,BUY
