Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kUpperBand,kMiddleLine,kLowerBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-03-24 09:15:00+05:30,22839.9,22897.65,22765.15,22854.05,0,1234370500,22831.4,28182407115875.98,28182407115875.98,1234370500,22831.4,22877.94,22870.19,22862.43,22478.1,73.82,57.75,86.24,86.24,22611.08,22586.49,22561.29,22574.89,22574.89,22718.54,22404.04,22639.91,22482.66,22763.25,22593.18,22423.11,False,262.67,23117.02,22772.15,22944.58,22772.15,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,BUY
2026-03-24 09:30:00+05:30,22744.8,22852.4,22732.3,22839.6,0,1586747690,22792.35,36165709641906.48,64348116757782.45,2821118190,22809.44,22869.16,22859.21,22849.25,22478.1,62.36,60.06,63.57,63.57,22640.22,22604.03,22571.94,22584.98,22584.98,22748.45,22395.42,22660.19,22483.68,22781.2,22607.62,22434.05,False,155.02,22809.41,22775.31,22792.36,22748.38,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 09:45:00+05:30,22754.2,22773.65,22701.8,22747.3,0,1124607330,22737.73,25571012861473.86,89919129619256.31,3945725520,22789.0,22860.98,22848.99,22836.99,22486.49,63.0,61.53,65.81,65.81,22668.16,22620.57,22581.94,22594.83,22594.83,22776.01,22387.86,22678.97,22484.9,22793.66,22621.58,22449.5,False,152.44,22778.85,22765.46,22772.15,22729.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 10:00:00+05:30,22708.1,22756.65,22682.3,22753.9,0,947260270,22719.48,21521256577793.56,111440386197049.88,4892985790,22775.54,22855.6,22842.26,22828.91,22494.71,57.61,59.57,11.98,11.98,22707.93,22630.16,22589.38,22601.3,22601.3,22791.06,22387.71,22690.22,22488.55,22800.74,22629.82,22458.91,False,98.5,22741.74,22785.67,22763.7,22711.94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 10:15:00+05:30,22737.9,22766.8,22701.55,22706.95,0,1015210515,22734.18,23079974302983.34,134520360500033.22,5908196305,22768.43,22852.76,22838.7,22824.65,22502.77,60.09,59.83,32.69,32.69,22756.98,22641.92,22600.27,22608.96,22608.96,22809.58,22390.97,22704.92,22495.62,22809.01,22640.11,22471.22,False,117.71,22781.39,22869.42,22825.4,22721.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-24 10:30:00+05:30,22667.9,22738.9,22624.9,22738.2,0,1051372520,22681.9,23847126772080.39,158367487272113.6,6959568825,22755.36,22847.53,22832.17,22816.81,22510.67,52.04,55.93,28.91,28.91,22722.58,22644.75,22605.94,22612.22,22612.22,22816.17,22395.7,22711.05,22500.82,22814.61,22642.76,22470.91,False,43.55,22697.83,22766.17,22732.0,22674.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-24 10:45:00+05:30,22639.7,22723.5,22629.4,22667.55,0,954205340,22676.45,21637989868611.23,180005477140724.84,7913774165,22745.84,22843.72,22827.41,22811.1,22518.41,49.05,52.49,10.43,10.43,22701.56,22644.2,22611.15,22613.71,22613.71,22819.18,22403.13,22715.16,22507.14,22815.14,22642.47,22469.8,False,12.89,22666.48,22719.14,22692.81,22658.08,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,WAIT
2026-03-24 11:00:00+05:30,22698.25,22711.05,22639.8,22639.8,0,725274660,22675.43,16445911723851.33,196451388864576.16,8639048825,22739.93,22841.36,22824.45,22807.55,22525.99,55.07,53.78,51.69,51.69,22690.37,22650.04,22620.47,22618.23,22618.23,22826.46,22414.47,22723.46,22517.47,22818.95,22647.78,22476.61,False,64.13,22788.87,22875.84,22832.35,22701.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 11:15:00+05:30,22728.5,22746.0,22689.55,22699.4,0,906944720,22717.78,20603766440673.28,217055155305249.44,9545993545,22737.83,22840.52,22823.4,22806.29,22533.43,57.95,55.87,85.55,85.55,22694.45,22658.49,22630.11,22624.05,22624.05,22837.44,22422.78,22733.77,22526.45,22823.72,22655.47,22487.22,False,85.71,22809.87,22867.65,22838.76,22716.45,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 11:30:00+05:30,22754.65,22770.15,22724.5,22729.35,0,770960300,22747.33,17537284656775.68,234592439962025.12,10316953845,22738.54,22840.8,22823.76,22806.71,22540.71,60.42,58.14,88.99,88.99,22697.8,22668.82,22642.84,22630.85,22630.85,22847.8,22437.88,22745.32,22540.36,22829.32,22664.92,22500.51,False,100.77,22771.71,22891.06,22831.39,22729.52,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 11:45:00+05:30,22806.9,22827.8,22745.85,22754.35,0,850003495,22786.83,19368881055969.68,253961321017994.8,11166957340,22742.21,22842.27,22825.59,22808.92,22547.85,65.04,61.59,88.88,88.88,22725.6,22683.63,22658.73,22639.89,22639.89,22862.77,22454.69,22760.75,22556.71,22842.82,22678.44,22514.06,False,138.32,22801.15,23006.45,22903.8,22755.65,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-03-24 12:00:00+05:30,22761.45,22816.9,22760.0,22806.75,0,744610955,22788.45,16968529662901.58,270929850680896.38,11911568295,22745.1,22843.43,22827.04,22810.65,22554.85,58.37,59.98,52.01,52.01,22749.95,22691.96,22672.45,22646.07,22646.07,22864.43,22480.47,22768.44,22576.46,22848.2,22686.34,22524.49,False,82.05,22748.84,22884.29,22816.57,22746.43,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
